measured_at,created_at,latitude,longitude,accuracy,bearing,speed
2018-05-24 00:00:07 +0200,2018-05-24 00:00:07 +0200,48.652452,8.8252156,10.0,0.0,0.0
2018-05-24 00:00:17 +0200,2018-05-24 00:00:17 +0200,48.652452,8.8252156,10.0,0.0,0.0
2018-05-24 00:00:27 +0200,2018-05-24 00:00:28 +0200,48.652452,8.8252156,10.0,0.0,0.0
2018-05-24 00:00:37 +0200,2018-05-24 00:00:38 +0200,48.6524519,8.8252154,10.0,0.0,0.0
2018-05-24 00:00:47 +0200,2018-05-24 00:00:47 +0200,48.6524519,8.8252154,10.0,0.0,0.0
2018-05-24 00:00:57 +0200,2018-05-24 00:00:58 +0200,48.652452,8.8252154,10.003,0.0,0.0
2018-05-24 00:01:07 +0200,2018-05-24 00:01:07 +0200,48.652452,8.8252153,10.0,0.0,0.0
2018-05-24 00:01:17 +0200,2018-05-24 00:01:17 +0200,48.6524521,8.8252153,10.0,0.0,0.0
2018-05-24 00:01:27 +0200,2018-05-24 00:01:28 +0200,48.6524521,8.8252153,10.0,0.0,0.0
2018-05-24 00:01:37 +0200,2018-05-24 00:01:37 +0200,48.652452,8.8252152,10.0,0.0,0.0
2018-05-24 00:01:47 +0200,2018-05-24 00:01:48 +0200,48.6524521,8.8252151,10.0,0.0,0.0
2018-05-24 00:01:57 +0200,2018-05-24 00:01:58 +0200,48.652452,8.8252151,10.0,0.0,0.0
2018-05-24 00:02:07 +0200,2018-05-24 00:02:07 +0200,48.652452,8.825215,10.0,0.0,0.0
2018-05-24 00:02:17 +0200,2018-05-24 00:02:17 +0200,48.652452,8.825215,10.0,0.0,0.0
2018-05-24 00:02:27 +0200,2018-05-24 00:02:28 +0200,48.6524519,8.8252149,10.451,0.0,0.0
2018-05-24 00:02:37 +0200,2018-05-24 00:02:38 +0200,48.6524519,8.8252149,10.909,0.0,0.0
2018-05-24 00:02:47 +0200,2018-05-24 00:02:47 +0200,48.652452,8.8252149,11.419,0.0,0.0
2018-05-24 00:02:57 +0200,2018-05-24 00:02:57 +0200,48.6524519,8.8252148,11.408,0.0,0.0
2018-05-24 00:03:07 +0200,2018-05-24 00:03:07 +0200,48.6524518,8.8252147,10.473,0.0,0.0
2018-05-24 00:03:17 +0200,2018-05-24 00:03:18 +0200,48.6524518,8.8252148,10.273,0.0,0.0
2018-05-24 00:03:27 +0200,2018-05-24 00:03:28 +0200,48.6524518,8.8252148,10.0,0.0,0.0
2018-05-24 00:03:37 +0200,2018-05-24 00:03:37 +0200,48.6524519,8.8252149,10.0,0.0,0.0
2018-05-24 00:03:47 +0200,2018-05-24 00:03:47 +0200,48.6524519,8.8252149,10.233,0.0,0.0
2018-05-24 00:03:57 +0200,2018-05-24 00:03:57 +0200,48.6524518,8.8252149,10.263,0.0,0.0
2018-05-24 00:04:07 +0200,2018-05-24 00:04:07 +0200,48.6524519,8.8252149,10.67,0.0,0.0
2018-05-24 00:04:17 +0200,2018-05-24 00:04:17 +0200,48.6524519,8.8252149,11.175,0.0,0.0
2018-05-24 00:04:27 +0200,2018-05-24 00:04:27 +0200,48.652452,8.825215,10.433,0.0,0.0
2018-05-24 00:04:37 +0200,2018-05-24 00:04:37 +0200,48.652452,8.8252151,10.0,0.0,0.0
2018-05-24 00:04:47 +0200,2018-05-24 00:04:48 +0200,48.6524521,8.8252151,10.0,0.0,0.0
2018-05-24 00:04:57 +0200,2018-05-24 00:04:57 +0200,48.6524521,8.8252151,10.0,0.0,0.0
2018-05-24 00:05:07 +0200,2018-05-24 00:05:07 +0200,48.6524523,8.8252152,10.056,0.0,0.0
2018-05-24 00:05:17 +0200,2018-05-24 00:05:18 +0200,48.6524525,8.8252155,10.256,0.0,0.0
2018-05-24 00:05:27 +0200,2018-05-24 00:05:27 +0200,48.6524526,8.8252157,10.264,0.0,0.0
2018-05-24 00:05:37 +0200,2018-05-24 00:05:38 +0200,48.6524527,8.8252158,10.142,0.0,0.0
2018-05-24 00:05:47 +0200,2018-05-24 00:05:47 +0200,48.6524527,8.8252158,10.121,0.0,0.0
2018-05-24 00:05:57 +0200,2018-05-24 00:05:58 +0200,48.6524527,8.8252158,10.259,0.0,0.0
2018-05-24 00:06:07 +0200,2018-05-24 00:06:07 +0200,48.6524528,8.8252158,10.191,0.0,0.0
2018-05-24 00:06:17 +0200,2018-05-24 00:06:17 +0200,48.6524528,8.8252158,10.261,0.0,0.0
2018-05-24 00:06:27 +0200,2018-05-24 00:06:27 +0200,48.6524529,8.8252159,10.0,0.0,0.0
2018-05-24 00:06:37 +0200,2018-05-24 00:06:37 +0200,48.652453,8.825216,10.0,0.0,0.0
2018-05-24 00:06:47 +0200,2018-05-24 00:06:48 +0200,48.6524531,8.8252162,10.0,0.0,0.0
2018-05-24 00:06:57 +0200,2018-05-24 00:06:58 +0200,48.6524532,8.8252163,10.0,0.0,0.0
2018-05-24 00:07:07 +0200,2018-05-24 00:07:07 +0200,48.6524533,8.8252165,10.0,0.0,0.0
2018-05-24 00:07:17 +0200,2018-05-24 00:07:17 +0200,48.6524535,8.8252168,10.0,0.0,0.0
2018-05-24 00:07:27 +0200,2018-05-24 00:07:27 +0200,48.6524538,8.8252169,10.0,0.0,0.0
2018-05-24 00:07:37 +0200,2018-05-24 00:07:38 +0200,48.652454,8.8252171,10.0,0.0,0.0
2018-05-24 00:07:47 +0200,2018-05-24 00:07:47 +0200,48.6524542,8.8252174,10.0,0.0,0.0
2018-05-24 00:07:57 +0200,2018-05-24 00:07:57 +0200,48.6524544,8.8252177,10.695,0.0,0.0
2018-05-24 00:08:07 +0200,2018-05-24 00:08:07 +0200,48.6524547,8.825218,10.356,0.0,0.0
2018-05-24 00:08:17 +0200,2018-05-24 00:08:17 +0200,48.6524548,8.8252181,10.0,0.0,0.0
2018-05-24 00:08:27 +0200,2018-05-24 00:08:28 +0200,48.6524549,8.8252182,10.0,0.0,0.0
2018-05-24 00:08:37 +0200,2018-05-24 00:08:37 +0200,48.6524551,8.8252184,10.235,0.0,0.0
2018-05-24 00:08:47 +0200,2018-05-24 00:08:47 +0200,48.6524553,8.8252184,10.263,0.0,0.0
2018-05-24 00:08:57 +0200,2018-05-24 00:08:57 +0200,48.6524554,8.8252184,10.0,0.0,0.0
2018-05-24 00:09:07 +0200,2018-05-24 00:09:08 +0200,48.6524556,8.8252184,10.0,0.0,0.0
2018-05-24 00:09:17 +0200,2018-05-24 00:09:18 +0200,48.6524558,8.8252185,10.0,0.0,0.0
2018-05-24 00:09:27 +0200,2018-05-24 00:09:28 +0200,48.652456,8.8252186,10.0,0.0,0.0
2018-05-24 00:09:37 +0200,2018-05-24 00:09:38 +0200,48.6524561,8.8252188,10.0,0.0,0.0
2018-05-24 00:09:47 +0200,2018-05-24 00:09:48 +0200,48.6524563,8.825219,10.021,0.0,0.0
2018-05-24 00:09:57 +0200,2018-05-24 00:09:57 +0200,48.6524563,8.825219,10.254,0.0,0.0
2018-05-24 00:10:07 +0200,2018-05-24 00:10:07 +0200,48.6524565,8.8252191,10.497,0.0,0.0
2018-05-24 00:10:17 +0200,2018-05-24 00:10:17 +0200,48.6524566,8.8252193,10.0,0.0,0.0
2018-05-24 00:10:27 +0200,2018-05-24 00:10:28 +0200,48.6524567,8.8252194,10.942,0.0,0.0
2018-05-24 00:10:37 +0200,2018-05-24 00:10:38 +0200,48.6524569,8.8252197,10.0,0.0,0.0
2018-05-24 00:10:47 +0200,2018-05-24 00:10:48 +0200,48.6524572,8.8252198,10.0,0.0,0.0
2018-05-24 00:10:57 +0200,2018-05-24 00:10:57 +0200,48.6524574,8.8252199,10.0,0.0,0.0
2018-05-24 00:11:07 +0200,2018-05-24 00:11:07 +0200,48.6524575,8.82522,10.0,0.0,0.0
2018-05-24 00:11:17 +0200,2018-05-24 00:11:18 +0200,48.6524576,8.8252201,10.0,0.0,0.0
2018-05-24 00:11:27 +0200,2018-05-24 00:11:27 +0200,48.6524577,8.8252201,10.0,0.0,0.0
2018-05-24 00:11:37 +0200,2018-05-24 00:11:37 +0200,48.6524577,8.8252201,10.0,0.0,0.0
2018-05-24 00:11:47 +0200,2018-05-24 00:11:47 +0200,48.6524579,8.8252202,10.0,0.0,0.0
2018-05-24 00:11:57 +0200,2018-05-24 00:11:58 +0200,48.652458,8.8252204,10.0,0.0,0.0
2018-05-24 00:12:07 +0200,2018-05-24 00:12:07 +0200,48.6524577,8.8252199,10.0,0.0,0.0
2018-05-24 00:12:17 +0200,2018-05-24 00:12:18 +0200,48.6524578,8.82522,10.0,0.0,0.0
2018-05-24 00:12:27 +0200,2018-05-24 00:12:27 +0200,48.6524579,8.82522,10.0,0.0,0.0
2018-05-24 00:12:37 +0200,2018-05-24 00:12:38 +0200,48.6524579,8.82522,10.0,0.0,0.0
2018-05-24 00:12:47 +0200,2018-05-24 00:12:47 +0200,48.652458,8.82522,10.0,0.0,0.0
2018-05-24 00:12:57 +0200,2018-05-24 00:12:58 +0200,48.652458,8.82522,10.0,0.0,0.0
2018-05-24 00:13:07 +0200,2018-05-24 00:13:07 +0200,48.6524581,8.8252201,10.0,0.0,0.0
2018-05-24 00:13:17 +0200,2018-05-24 00:13:17 +0200,48.6524581,8.8252202,10.0,0.0,0.0
2018-05-24 00:13:27 +0200,2018-05-24 00:13:27 +0200,48.6524581,8.8252202,10.0,0.0,0.0
2018-05-24 00:13:37 +0200,2018-05-24 00:13:38 +0200,48.652458,8.8252202,10.0,0.0,0.0
2018-05-24 00:13:47 +0200,2018-05-24 00:13:48 +0200,48.652458,8.8252201,10.0,0.0,0.0
